name,phone,categories,location,state_name,website,yellowpages_url
Rose Apple Thai Cuuisine,(909) 890-5884,"Thai Restaurants,Asian Restaurants,Caterers,Grocers-Ethnic Foods,Restaurants,Take Out Restaurants","1981 Diners Ct, San Bernardino, CA 92408",California,http://www.roseappleca.com,https://www.yellowpages.com/san-bernardino-ca/mip/rose-apple-thai-cuuisine-1005273
Heavenly Donuts,(951) 278-0500,"Donut Shops,Restaurants","1161 Hidden Valley Pkwy, Norco, CA 92860",California,http://www.heavenlydonut.com,https://www.yellowpages.com/norco-ca/mip/heavenly-donuts-10096472
Burgundy Creek Grill,(818) 883-0000,Restaurants,"Woodland Hills, CA 91302",California,,https://www.yellowpages.com/woodland-hills-ca/mip/burgundy-creek-grill-10043187
La Bella Pizza Gardens,(619) 678-1735,"Caterers,Amusement Devices,Amusement Places & Arcades,Banquet Halls & Reception Facilities,Bars,Italian Restaurants,Pizza,Pool Halls,Recreation Centers,Restaurant Delivery Service,Restaurants,Sports Bars,Take Out Restaurants,Tourist Information & Attractions,Video Games Arcades","373 3rd Ave, Chula Vista, CA 91910",California,http://www.labellas.com,https://www.yellowpages.com/chula-vista-ca/mip/la-bella-pizza-gardens-500267?lid=1002069217711
Shangri-La,(707) 987-8531,Restaurants,"21308 Calistoga Rd, Middletown, CA 95461",California,,https://www.yellowpages.com/middletown-ca/mip/shangri-la-1006189
Tony's Place,(916) 776-1317,"Steak Houses,Bars,Restaurants","14157 State Highway 160, Walnut Grove, CA 95690",California,,https://www.yellowpages.com/walnut-grove-ca/mip/tonys-place-10042997
Fabiolus Cucina,(323) 467-2882,"Italian Restaurants,Bakeries,Bars,Breakfast, Brunch & Lunch Restaurants,Caterers,Italian Grocery Stores,Mediterranean Restaurants,Pasta,Pizza,Restaurant Delivery Service,Restaurants,Take Out Restaurants,Taverns","6270 W Sunset Blvd, Los Angeles, CA 90028",California,http://www.fabiolus.com,https://www.yellowpages.com/los-angeles-ca/mip/fabiolus-cucina-10042692
Bagel Bistro,(714) 671-9427,"Bagels,Caterers,Coffee & Espresso Restaurants,Delicatessens,Donut Shops,Restaurants","1000 E Bastanchury Rd, Fullerton, CA 92835",California,http://bagelbistrofullerton.com,https://www.yellowpages.com/fullerton-ca/mip/bagel-bistro-10043312
Myung Dong Tofu Cabin,(650) 525-1484,"Korean Restaurants,Asian Restaurants,Restaurants","2968 S Norfolk St, San Mateo, CA 94403",California,http://www.tofucabin.com,https://www.yellowpages.com/san-mateo-ca/mip/myung-dong-tofu-cabin-10052610
McDonald's,(510) 441-7741,"Fast Food Restaurants,Hamburgers & Hot Dogs,Restaurants,Take Out Restaurants","30600 Dyer St, Union City, CA 94587",California,https://www.mcdonalds.com/us/en-us/location/ca/union-city/30600-dyer-st/13311.html?cid=RF:YXT:RoN::Clicks,https://www.yellowpages.com/union-city-ca/mip/mcdonalds-10085758
Magic Wok,(909) 335-1978,"Chinese Restaurants,Asian Restaurants,Caterers,Restaurants","27510 W Lugonia Ave Ste C, Redlands, CA 92374",California,,https://www.yellowpages.com/redlands-ca/mip/magic-wok-10042893
Buona Vita,(310) 379-7626,Restaurants,"439 Pier Ave, Hermosa Beach, CA 90254",California,http://www.buonavita.com,https://www.yellowpages.com/hermosa-beach-ca/mip/buona-vita-10039396
Apple Annie's Restaurant & Bakery,(909) 797-2311,"American Restaurants,Restaurants","38480 Oak Glen Rd, Yucaipa, CA 92399",California,http://www.appleanniesoakglen.com/ordereze/default.aspx,https://www.yellowpages.com/yucaipa-ca/mip/apple-annies-restaurant-bakery-10040315
Taco Bell,(530) 934-5212,"Fast Food Restaurants,Mexican Restaurants,Restaurants","1301 W Wood St, Willows, CA 95988",California,https://locations.tacobell.com/ca/willows/1301-w-wood-st.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=002463&utm_content=website&y_source=1_NjE0NjU3Mi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.yellowpages.com/willows-ca/mip/taco-bell-10040370
Seaside Bakery,(949) 675-2533,"Fast Food Restaurants,American Restaurants,Restaurants","2108 W Oceanfront, Newport Beach, CA 92663",California,http://www.facebook.com/pages/Seaside-Bakery/120668331284017,https://www.yellowpages.com/newport-beach-ca/mip/seaside-bakery-10041324
Heartbeat Cafe,(408) 369-9078,"Coffee & Tea,Coffee & Espresso Restaurants,Coffee Shops,Restaurants","14392 Union Ave, San Jose, CA 95124",California,http://www.heartbeatcafe.com,https://www.yellowpages.com/san-jose-ca/mip/heartbeat-cafe-1003812
Mitsuwa Marketplace,(714) 557-6699,"Japanese Restaurants,Asian Restaurants,Japanese Grocery Stores,Restaurants","665 Paularino Ave, Costa Mesa, CA 92626",California,http://www.mitsuwa.com,https://www.yellowpages.com/costa-mesa-ca/mip/mitsuwa-marketplace-10038663
Mastro's Steakhouse,(805) 418-1811,"Steak Houses,Restaurants","2087 E Thousand Oaks Blvd, Thousand Oaks, CA 91362",California,http://www.mastrosrestaurants.com,https://www.yellowpages.com/thousand-oaks-ca/mip/mastros-steakhouse-10038654
Rodney Strong Vineyards,(707) 431-1533,"Beverages,Restaurants,Wine,Wineries","11455 Old Redwood Hwy, Healdsburg, CA 95448",California,http://www.rodneystrong.com,https://www.yellowpages.com/healdsburg-ca/mip/rodney-strong-vineyards-10038462
Fusion Sushi,(310) 378-2990,"Sushi Bars,Asian Restaurants,Caterers,Japanese Restaurants,Restaurants","3963 Pacific Coast Hwy, Torrance, CA 90505",California,http://www.myfusionsushi.com,https://www.yellowpages.com/torrance-ca/mip/fusion-sushi-10041629
Domino's Pizza,(510) 839-1952,"Pizza,Fast Food Restaurants,Restaurants,Take Out Restaurants","3360 Grand Ave, Oakland, CA 94610",California,https://www.dominos.com/en/?redirect=homepage&utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps,https://www.yellowpages.com/oakland-ca/mip/dominos-pizza-10037993
The Village Sandwich Shoppe,(209) 823-0567,"Sandwich Shops,Restaurants","123 W Yosemite Ave, Manteca, CA 95336",California,,https://www.yellowpages.com/manteca-ca/mip/the-village-sandwich-shoppe-10037220
Bayou Bar and Grill,(626) 943-9901,Restaurants,"101 W Main St, Alhambra, CA 91801",California,,https://www.yellowpages.com/alhambra-ca/mip/bayou-bar-and-grill-10036010
Roline's,(707) 455-7003,"Asian Restaurants,Filipino Restaurants,Restaurants","2048 Nut Tree Rd, Vacaville, CA 95687",California,http://www.rolines.com,https://www.yellowpages.com/vacaville-ca/mip/rolines-10036925
Goldilocks,(510) 477-8881,"American Restaurants,Bakeries,Caterers,Restaurants,Take Out Restaurants","4126 Dyer St, Union City, CA 94587",California,http://www.goldilocks-usa.com/stores/us,https://www.yellowpages.com/union-city-ca/mip/goldilocks-10035711
Old Town Patio,(310) 414-9270,"American Restaurants,Barbecue Restaurants,Hamburgers & Hot Dogs,Restaurants","115 Richmond St, El Segundo, CA 90245",California,,https://www.yellowpages.com/el-segundo-ca/mip/old-town-patio-10032775
Denny's,(858) 578-6987,"Breakfast, Brunch & Lunch Restaurants,American Restaurants,Family Style Restaurants,Hamburgers & Hot Dogs,Restaurants","6908 Miramar Rd, San Diego, CA 92121",California,http://locations.dennys.com/CA/SAN-DIEGO/247856?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing,https://www.yellowpages.com/san-diego-ca/mip/dennys-10034349
La Ceiba Restaurant,(562) 590-3186,"Family Style Restaurants,Caterers,Restaurants","1436 E 7th St, Long Beach, CA 90813",California,http://laceibarestaurant.com,https://www.yellowpages.com/long-beach-ca/mip/la-ceiba-restaurant-10032761
Guadalupe Restaurant,(805) 343-1025,"Latin American Restaurants,Family Style Restaurants,Mexican Restaurants,Restaurants","757 Guadalupe St, Guadalupe, CA 93434",California,https://www.groupon.com/biz/new-york-city/guadalupe,https://www.yellowpages.com/guadalupe-ca/mip/guadalupe-restaurant-10034126
Ducks Donuts,(714) 966-0812,"Donut Shops,Restaurants","2307 S Bristol St Ste A, Santa Ana, CA 92704",California,https://www.duckdonuts.com,https://www.yellowpages.com/santa-ana-ca/mip/ducks-donuts-10033580
Sunrise Deli,(415) 664-8210,"Delicatessens,Cafeterias,Caterers,Restaurants","2115 Irving St, San Francisco, CA 94122",California,http://www.sunrisedeli.net,https://www.yellowpages.com/san-francisco-ca/mip/sunrise-deli-10032938
Togo's Eatery,(925) 685-8600,"Sandwich Shops,Fast Food Restaurants,Restaurants,Take Out Restaurants","1768 Willow Pass Rd, Concord, CA 94520",California,http://locations.togos.com/ca/concord/332544.html,https://www.yellowpages.com/concord-ca/mip/togos-eatery-1003508
Han's Coffee Shop,(415) 776-7875,"Coffee & Espresso Restaurants,Coffee Shops,Restaurants","900 Sutter St, San Francisco, CA 94109",California,,https://www.yellowpages.com/san-francisco-ca/mip/hans-coffee-shop-10032140
Combie Deli & Spirits,(530) 268-1500,"Delicatessens,Restaurants","10536 Combie Rd, Auburn, CA 95602",California,,https://www.yellowpages.com/auburn-ca/mip/combie-deli-spirits-10061367
Baby Panda Chinese Restaurant,(714) 750-8888,"Chinese Restaurants,Caterers,Family Style Restaurants,Restaurants,Take Out Restaurants","12837 Chapman Ave, Garden Grove, CA 92840",California,,https://www.yellowpages.com/garden-grove-ca/mip/baby-panda-chinese-restaurant-10060943
Subway,(562) 436-9977,"Fast Food Restaurants,American Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants","100 W Broadway Ste 170, Long Beach, CA 90802",California,https://restaurants.subway.com/united-states/ca/long-beach/100-w-broadway?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=6002&utm_campaign=evergreen-2020&y_source=1_MTQ4OTkzNDAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,https://www.yellowpages.com/long-beach-ca/mip/subway-10031965
Taco Bell,(323) 726-3891,"Fast Food Restaurants,Mexican Restaurants,Restaurants","5406 Whittier Blvd, East Los Angeles, CA 90022",California,https://locations.tacobell.com/ca/east-los-angeles/5406-whittier-blvd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=003052&utm_content=website&y_source=1_NjE0MzA2NC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.yellowpages.com/east-los-angeles-ca/mip/taco-bell-10032205
The Coffee Bean & Tea Leaf,(310) 545-2827,"Coffee & Espresso Restaurants,Coffee & Tea,Coffee Shops,Restaurants","321 Manhattan Beach Blvd, Manhattan Beach, CA 90266",California,http://www.coffeebean.com,https://www.yellowpages.com/manhattan-beach-ca/mip/the-coffee-bean-tea-leaf-10031075
New York Bakery,(619) 334-3682,"Bakeries,Caterers,Restaurants","245 E Main St, El Cajon, CA 92020",California,,https://www.yellowpages.com/el-cajon-ca/mip/new-york-bakery-10060519
Loma Mini Market,(562) 498-7445,Restaurants,"1600 Loma Ave, Long Beach, CA 90804",California,http://www.lomastreetmarket.com/contact,https://www.yellowpages.com/long-beach-ca/mip/loma-mini-market-10061430
Elite Restaurant,(626) 282-9998,"Chinese Restaurants,Asian Restaurants,Family Style Restaurants,Restaurants,Seafood Restaurants","700 S Atlantic Blvd, Monterey Park, CA 91754",California,http://www.elitechineserestaurant.com,https://www.yellowpages.com/monterey-park-ca/mip/elite-restaurant-10060495
Pita Pit,(805) 571-7482,"Sandwich Shops,Restaurants","971 Embarcadero Del Mar, Isla Vista, CA 93117",California,http://www.pitapitusa.com/home.php,https://www.yellowpages.com/isla-vista-ca/mip/pita-pit-10059268
Family Delight Cafe,(408) 943-8229,"Coffee Shops,Restaurants","662 Barber Ln, Milpitas, CA 95035",California,,https://www.yellowpages.com/milpitas-ca/mip/family-delight-cafe-1005972
Big Mike's Philly Steaks & Subs,(310) 726-9638,"Steak Houses,American Restaurants,Caterers,Fast Food Restaurants,Restaurants","507 Main St, El Segundo, CA 90245",California,http://www.facebook.com/bigmikesphillysteaksandsubs,https://www.yellowpages.com/el-segundo-ca/mip/big-mikes-philly-steaks-subs-1005994
Fatburger,(818) 360-8761,"Fast Food Restaurants,American Restaurants,Hamburgers & Hot Dogs,Restaurants","16848 Devonshire St, Granada Hills, CA 91344",California,http://www.fatburger.com,https://www.yellowpages.com/granada-hills-ca/mip/fatburger-1005904
St Tropez,(619) 696-8696,"Bakeries,Restaurants","926 Broadway Cir, San Diego, CA 92101",California,,https://www.yellowpages.com/san-diego-ca/mip/st-tropez-1006035
Outback Steakhouse,(714) 990-8100,"Steak Houses,American Restaurants,Barbecue Restaurants,Family Style Restaurants,Hamburgers & Hot Dogs,Restaurants,Take Out Restaurants","30 Pointe Dr, Brea, CA 92821",California,https://locations.outback.com/california/brea/30-pointe-dr.,https://www.yellowpages.com/brea-ca/mip/outback-steakhouse-10058515
L&L Hawaiian Barbecue,(916) 930-0833,"Hawaiian Restaurants,Barbecue Restaurants,Restaurants","1049 Broadway, Sacramento, CA 95818",California,http://www.hawaiianbarbecue.com,https://www.yellowpages.com/sacramento-ca/mip/l-l-hawaiian-barbecue-10060773
Frosty King,(661) 831-9167,"Family Style Restaurants,Dessert Restaurants,Ice Cream & Frozen Desserts,Restaurants,Take Out Restaurants","5508 S Union Ave, Bakersfield, CA 93307",California,,https://www.yellowpages.com/bakersfield-ca/mip/frosty-king-10057863
Taco del Mar,(650) 559-8226,"Mexican Restaurants,Fast Food Restaurants,Restaurants,Take Out Restaurants","570 Showers Dr, Mountain View, CA 94040",California,http://www.tacodelmar.com,https://www.yellowpages.com/mountain-view-ca/mip/taco-del-mar-10058837
Juice It Up,(714) 840-5575,"Juices,Beverages,Restaurants","7171 Warner Ave Ste A, Huntington Beach, CA 92647",California,http://www.juiceitup.com,https://www.yellowpages.com/huntington-beach-ca/mip/juice-it-up-10057465
Sunrise Spirits & Food Co,(661) 255-7622,"Delicatessens,Liquor Stores,Restaurants","25862 Tournament Rd, Valencia, CA 91355",California,,https://www.yellowpages.com/valencia-ca/mip/sunrise-spirits-food-co-10056688
Subway,(760) 941-8929,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants","5523 Mission Rd Ste D, Bonsall, CA 92003",California,http://www.subway.com,https://www.yellowpages.com/bonsall-ca/mip/subway-10057980
Crock N Kettle,(562) 866-6308,"Delicatessens,Caterers,Restaurants,Sandwich Shops","10723 South St, Cerritos, CA 90703",California,https://www.facebook.com/pages/Crock-and-Kettle/176539949040777,https://www.yellowpages.com/cerritos-ca/mip/crock-n-kettle-10057053
Madison & Fifth,(650) 323-3900,Restaurants,"367 University Ave, Palo Alto, CA 94301",California,,https://www.yellowpages.com/palo-alto-ca/mip/madison-fifth-10058074
Club 2 Me,(916) 451-6834,"Bars,Bar & Grills,Barbecue Restaurants,Restaurants","4738 J St, Sacramento, CA 95819",California,,https://www.yellowpages.com/sacramento-ca/mip/club-2-me-10055511
Razzo's,(510) 530-6464,"Pizza,Caterers,Italian Restaurants,Restaurants,Take Out Restaurants","4312 Macarthur Blvd, Oakland, CA 94619",California,http://www.razzos.com,https://www.yellowpages.com/oakland-ca/mip/razzos-1005611
Bag-Dad Cafe,(760) 257-3101,"Coffee & Espresso Restaurants,Coffee Shops,Restaurants","46548 National Trails Hwy, Newberry Springs, CA 92365",California,,https://www.yellowpages.com/newberry-springs-ca/mip/bag-dad-cafe-10053471
Hofmann Wendy,(951) 427-1197,Restaurants,"8008 Orchid Dr, Eastvale, CA 92880",California,,https://www.yellowpages.com/eastvale-ca/mip/hofmann-wendy-10052943
Best Thai Cuisine,(951) 682-4251,"Thai Restaurants,Asian Restaurants,Caterers,Health Food Restaurants,Restaurants,Take Out Restaurants,Vegetarian Restaurants","1735 Spruce St Ste F, Riverside, CA 92507",California,http://www.bestthai-cuisine.com,https://www.yellowpages.com/riverside-ca/mip/best-thai-cuisine-1005851
Lynn's Entree's & Catering,(707) 438-0515,"Caterers,Bartending Service,Restaurants","309 Marina Ctr, Suisun City, CA 94585",California,http://www.lynnsentreesandcatering.com,https://www.yellowpages.com/suisun-city-ca/mip/lynns-entrees-catering-10051733
Fosters Freeze,(310) 835-5050,"Fast Food Restaurants,Ice Cream & Frozen Desserts,Restaurants","117 E Carson St, Carson, CA 90745",California,http://www.fostersfreeze.com,https://www.yellowpages.com/carson-ca/mip/fosters-freeze-10057679
Nuha's Cafe,(510) 704-0155,"Coffee Shops,Restaurants","2115 Milvia St, Berkeley, CA 94704",California,,https://www.yellowpages.com/berkeley-ca/mip/nuhas-cafe-1005120
Slow Fish,(714) 846-6951,"Sushi Bars,Asian Restaurants,Japanese Restaurants,Korean Restaurants,Restaurants,Seafood Restaurants","16051 Bolsa Chica St, Huntington Beach, CA 92649",California,http://www.slowfishusa.com,https://www.yellowpages.com/huntington-beach-ca/mip/slow-fish-10050082
Subway,(916) 721-4100,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants","6456 Tupelo Dr Apt A, Citrus Heights, CA 95621",California,https://restaurants.subway.com/united-states/ca/citrus-heights/6456-tupelo-dr?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=2664&utm_campaign=evergreen-2020&y_source=1_MTQ5MDM5MDAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,https://www.yellowpages.com/citrus-heights-ca/mip/subway-10051524
Wok Gourmet Chef Chinese,(909) 391-8200,"Chinese Restaurants,Restaurants","2509 S Euclid Ave, Ontario, CA 91762",California,,https://www.yellowpages.com/ontario-ca/mip/wok-gourmet-chef-chinese-10054883
Tommy T's,(760) 371-4112,"Bars,Bar & Grills,Night Clubs,Restaurants,Taverns","117 E Ridgecrest Blvd, Ridgecrest, CA 93555",California,,https://www.yellowpages.com/ridgecrest-ca/mip/tommy-ts-10051510
Carl's Jr.,(661) 323-2641,"Fast Food Restaurants,Hamburgers & Hot Dogs,Restaurants","3520 Rosedale Hwy, Bakersfield, CA 93308",California,https://locations.carlsjr.com/ca/bakersfield/3520-rosedale-highway?utm_source=yext&utm_medium=gmb-button&utm_campaign=search&utm_content=website&y_source=1_MTIzODgxMzUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,https://www.yellowpages.com/bakersfield-ca/mip/carls-jr-10049340
Douglas Drive In Restaurant,(562) 944-0641,"American Restaurants,Family Style Restaurants,Hamburgers & Hot Dogs,Restaurants,Sandwich Shops","13475 Telegraph Rd, Whittier, CA 90605",California,http://www.douglasdrivein.com,https://www.yellowpages.com/whittier-ca/mip/douglas-drive-in-restaurant-10055999
Los Pancho's Taco Shop,(619) 474-7194,"Mexican Restaurants,Latin American Restaurants,Restaurants,Take Out Restaurants","2441 National City Blvd, National City, CA 91950",California,,https://www.yellowpages.com/national-city-ca/mip/los-panchos-taco-shop-1005438
Thai House,(209) 544-0974,"Thai Restaurants,Asian Restaurants,Caterers,Family Style Restaurants,Restaurants,Take Out Restaurants","3430 Tully Rd Ste 2, Modesto, CA 95350",California,https://www.facebook.com/pages/category/Thai-Restaurant/Thai-House-Thai-Cuisine-169149633104380,https://www.yellowpages.com/modesto-ca/mip/thai-house-10055219
Carl's Jr.,(559) 935-2980,"Fast Food Restaurants,Hamburgers & Hot Dogs,Restaurants","25167 W Dorris Ave, Coalinga, CA 93210",California,https://locations.carlsjr.com/ca/coalinga/25167-w-dorris-ave?utm_source=yext&utm_medium=gmb-button&utm_campaign=search&utm_content=website&y_source=1_MTIzODg1ODAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,https://www.yellowpages.com/coalinga-ca/mip/carls-jr-1004764
Alberto's Mexican Food,(562) 941-7776,"Mexican Restaurants,Fast Food Restaurants,Restaurants","13160 Telegraph Rd, Santa Fe Springs, CA 90670",California,http://www.albertosmexicanfoods.com,https://www.yellowpages.com/santa-fe-springs-ca/mip/albertos-mexican-food-10049209
Baja Sharkeez,(949) 673-0292,"Mexican Restaurants,American Restaurants,Bars,Brew Pubs,Hamburgers & Hot Dogs,Latin American Restaurants,Restaurants,Taverns,Vegetarian Restaurants","114 Mcfadden Pl, Newport Beach, CA 92663",California,http://www.sharkeez.net/newport-beach,https://www.yellowpages.com/newport-beach-ca/mip/baja-sharkeez-10046830
Burger King,(323) 263-3315,"Fast Food Restaurants,Hamburgers & Hot Dogs,Restaurants","1540 N Eastern Ave, Los Angeles, CA 90063",California,https://burgerking.com/store-locator/store/restaurant_7281,https://www.yellowpages.com/los-angeles-ca/mip/burger-king-1004882
Picnic Sandwich Shop,(559) 734-1847,"Sandwich Shops,Restaurants","114 W Main St Ste A, Visalia, CA 93291",California,,https://www.yellowpages.com/visalia-ca/mip/picnic-sandwich-shop-10048298
McDonald's,(831) 761-8450,"Fast Food Restaurants,Hamburgers & Hot Dogs,Restaurants,Take Out Restaurants","1459 Main St, Watsonville, CA 95076",California,https://www.mcdonalds.com/us/en-us/location/ca/watsonville/1459-main-st/12744.html?cid=RF:YXT:RoN::Clicks,https://www.yellowpages.com/watsonville-ca/mip/mcdonalds-10047226
Arby's,(949) 830-8862,"Fast Food Restaurants,Restaurants,Sandwich Shops","26801 Portola Pkwy, Foothill Ranch, CA 92610",California,http://locations.arbys.com/us/ca/foothill-ranch/26801-portola-pkwy.html,https://www.yellowpages.com/foothill-ranch-ca/mip/arbys-10050506
Fugu's Sushi,(858) 456-1414,"Sushi Bars,Asian Restaurants,Caterers,Chinese Restaurants,Japanese Restaurants,Restaurants,Take Out Restaurants","915 Pearl St, la Jolla, CA 92037",California,,https://www.yellowpages.com/la-jolla-ca/mip/fugus-sushi-10046298
Big Sur California Cafe,(805) 927-5258,"Coffee Shops,Caterers,Restaurants","9290 Castillo Dr, San Simeon, CA 93452",California,https://www.facebook.com/BigSurRestaurant/timeline,https://www.yellowpages.com/san-simeon-ca/mip/big-sur-california-cafe-10046000
Jim's Burgers,(213) 384-3346,"Take Out Restaurants,American Restaurants,Fast Food Restaurants,Hamburgers & Hot Dogs,Restaurants","3040 Beverly Blvd, Los Angeles, CA 90057",California,https://jimsburgerslosangeles4.restaurant-facilities.com,https://www.yellowpages.com/los-angeles-ca/mip/jims-burgers-10046660
Ukiah Brewing Company,(707) 468-5898,"Brew Pubs,American Restaurants,Bar & Grills,Bars,Beer & Ale,Caterers,Cocktail Lounges,Night Clubs,Restaurants,Taverns","102 S State St, Ukiah, CA 95482",California,https://ukiahbrewing.com,https://www.yellowpages.com/ukiah-ca/mip/ukiah-brewing-company-10045714
McDonald's,(707) 964-3122,"Fast Food Restaurants,Hamburgers & Hot Dogs,Restaurants,Take Out Restaurants","1190 S Main St, Fort Bragg, CA 95437",California,https://www.mcdonalds.com/us/en-us/location/ca/ft-bragg/1190-s-main-st/18667.html?cid=RF:YXT:RoN::Clicks,https://www.yellowpages.com/fort-bragg-ca/mip/mcdonalds-10044767
Papa Murphy's | Take 'N' Bake Pizza,(209) 869-5555,"Pizza,Restaurants,Take Out Restaurants","2542 Patterson Rd, Riverbank, CA 95367",California,https://locations.papamurphys.com/ca/riverbank/2542-patterson-road?utm_source=organic&utm_medium=extended&utm_campaign=yext&y_source=1_MTU0MzA3OTUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,https://www.yellowpages.com/riverbank-ca/mip/papa-murphys-take-n-bake-pizza-10048763
Alvaro's Mexican Food,(858) 486-3637,"Mexican Restaurants,Latin American Restaurants,Restaurants","12608 Sabre Springs Pkwy, San Diego, CA 92128",California,,https://www.yellowpages.com/san-diego-ca/mip/alvaros-mexican-food-1004729
El Palmar Restaurant,(310) 835-7865,"Family Style Restaurants,Restaurants","1602 N Avalon Blvd, Wilmington, CA 90744",California,,https://www.yellowpages.com/wilmington-ca/mip/el-palmar-restaurant-10044026
Kfc,(951) 679-5011,"Fast Food Restaurants,Chicken Restaurants,Restaurants,Take Out Restaurants","26660 Encanto Dr, Sun City, CA 92585",California,https://locations.kfc.com/ca/sun-city/26660-encanto-dr,https://www.yellowpages.com/sun-city-ca/mip/kfc-10046281
North Beach Pizza,(415) 433-2444,"Pizza,Caterers,Family Style Restaurants,Fast Food Restaurants,Italian Restaurants,Restaurants,Take Out Restaurants","1499 Grant Ave, San Francisco, CA 94133",California,http://www.northbeachpizza.com,https://www.yellowpages.com/san-francisco-ca/mip/north-beach-pizza-10071455
Las Cuatro Milpas,(909) 885-3344,"Take Out Restaurants,Latin American Restaurants,Mexican Restaurants,Restaurants","856 N Mount Vernon Ave, San Bernardino, CA 92411",California,http://events.pe.com,https://www.yellowpages.com/san-bernardino-ca/mip/las-cuatro-milpas-1004477
